,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1301,2 Mc Callum St Singapore (069043),"Bar, Fusion, Vegetarian Friendly, Local, Southeast Asian, Modern Asian",Telok Ayer Arts Club,1.2797222,103.8473865,4
1302,Block 31 Tampines Avenue 1Level 3Temasek Culinary Academy Temasek Polytechnic Singapore (529757),Modern European,Temasek Culinary Academy The Top Table,1.3451847,103.9318122,15
1303,51 Kreta Ayer Road Singapore (089008),"Bar, Japanese",Tempura Oji,1.281159,103.8419276,31
1304,60 Robertson Quay＃01-09The Quayside Singapore (238252),"Bar, Japanese",TEN Sushi,1.2900297,103.8391632,34
1305,8 Grange Road#02-11Cineleisure Orchard Singapore (239695),"Buffet, Japanese, Steamboat, Modern Asian, BBQ",Tenkaichi Japanese BBQ Restaurant (Cineleisure),1.3015948,103.836414,38
1306,6 Raffles Boulevard#03-129Marina Square Shopping Mall Singapore (039594),"Buffet, Japanese, BBQ",Tenkaichi Japanese BBQ Restaurant (Marina Square),1.2905299,103.8573481,12
1307,30 Orange Grove Road#02-01RELC Building Singapore (258352),"Chinese, Vegetarian Friendly, Local",Teochew Restaurant Huat Kee,1.3130374,103.8260855,44
1308,11 Unity Street#01-21/22Robertson Walk Singapore (237995),"Bar, Japanese, Fusion, Vegetarian Friendly",Teppan Bar Q,1.2922138,103.8410888,34
1309,26 Sentosa Gateway#01-229Resorts World Sentosa Singapore (098138),"Japanese, French",TEPPAN by Chef Yonemura,1.255179,103.8218107,14
1310,5 Fraser Street Level 25Andaz Singapore Singapore (189354),Japanese,Teppan Chef's Table,1.2992107,103.8577253,16
1311,99 Tanjong Pagar Road#01-01Singapore (088520),Japanese,Teppan Kappou Kenji,1.2773716,103.8437288,31
1312,42 Tras Street Singapore (078981),Japanese,Teppan Works,1.2782924,103.8442963,31
1313,38 Seah Street Singapore (188394),"Bar, Modern European, French",Tess Bar & Kitchen,1.2959092,103.8549995,16
1314,Airport Boulevard Departure Transit Lounge Level 3Changi Airport Terminal 2Singapore (819643),"Japanese, Korean, Local",TGM (Changi Airport T2 Transit),1.3552684,103.9894606,21
1315,1 Harbourfront Walk#02-145/146Vivo City Singapore (098585),"Thai, Vegetarian Friendly",Thai Accent,1.2633025,103.8216835,40
1316,43 Sultan Gate Level 2Singapore (198491),"Buffet, Thai, Seafood, Local, Steamboat",Thai Tanic Hotpot,1.3016271,103.8606359,8
1317,37 Cuppage Road Singapore (229460),"Thai, Seafood, Vegetarian Friendly",Thai Wok Restaurant,1.302202,103.840439,38
1318,271 Bukit Timah Road#01-04Balmoral Plaza Singapore (259708),Thai,Thai'd Me Up,1.3165038,103.8353812,11
1319,165 Tanjong Pagar Road Level 2Amara Singapore Singapore (088539),"Thai, Vegetarian Friendly",Thanying Restaurant,1.2750316,103.8435506,31
1320,9 Bras Basah Road#02-02A Rendezvous Hotel Gallery Singapore (189559),Bar,The Auld Alliance,1.298614,103.849054,45
1321,15 Stamford Road Lobby Level The Capitol Kempinski Hotel Singapore Singapore (178906),Bar,The Bar at 15 Stamford,1.293891,103.8513613,16
1322,1 Kim Seng Promenade#01-106Great World Singapore (237994),"Chinese, Local, Peranakan",The Blue Ginger (Great World),1.2926499,103.8322968,0
1323,97 Tanjong Pagar Road Singapore (088518),"Chinese, Local, Peranakan",The Blue Ginger (Tanjong Pagar),1.2774181,103.8437847,31
1324,3B Clarke Quay#01-05Singapore (179021),Bar,The Chupitos Bar,1.290573,103.844961,24
1325,"9 Dempsey Road,Singapore (247697)","Bar, Modern European, Australian, All-Day Breakfast, Burgers",The Dempsey Project,1.3036447,103.8098267,20
1326,20 Teck Lim Road Singapore (088391),"Bar, Indian",The Elephant Room Singapore,1.2805446,103.8419062,31
1327,52 Duxton Road Singapore (089516),"Japanese, Steakhouse, Burgers",The Feather Blade Izakaya @ RAPPU,1.2782247,103.843358,31
1328,85 Beach Road#01-02Singapore (189694),"French, Fusion",The Masses,1.2973,103.8565671,16
1329,310 Orchard Road#02-22Tangs Orchard Singapore (238864),"Australian, Vegetarian Friendly, Cafe",The Providore (Tangs Orchard),1.3047955,103.8329225,11
1330,28 Stanley Street Singapore (068737),Burgers,The Rebel Bar,1.2809429,103.848283,4
1331,36 Lorong Mambong Singapore (277693),"Bar, All-Day Breakfast",The Rebel Company Cafe & Bar (Holland Village),1.311689,103.794513,9
1332,"39 Syed Alwi Road The Vagabond Club Singapore, A Tribute Portfolio Hotel Singapore (207630)","Bar, International, Local",The Whiskey Library @ The Vagabond Club,1.3070654,103.8582723,8
1333,9 Keong Saik Road Singapore (089117),"Indian, Fusion",Thevar,1.2794175,103.8414525,31
1334,154 West Coast Road#02-25West Coast Plaza Singapore (127371),Thai,Thonglor Thai Cuisine & Seafood (West Coast),1.303632,103.766452,22
